Wardname	Children	Greaterthan65	nonwhite	NotBorninUK	NotEnglishspeaking
Hounslow - Heston East	20.3831479827908	10.5	77.4	56.5	26.1
Harrow - Marlborough	20.6949995921364	10.6	62.9	51.6	20.2
Westminster - Knightsbridge & Belgravia	11.4670981661273	13.2	30.4	59.6	23.9
Hackney - Hackney Central	17.5964297099139	7.7	52.7	40.5	12.8
Bromley - Copers Cope	13.1691787941788	16.8	17.4	20.3	4.6
Enfield - Enfield Highway	26.2556935171897	10.3	42.2	34.3	14.5
Lambeth - Stockwell	18.3799147323543	6.9	44.3	44.9	17.8
Waltham Forest - Lea Bridge	23.8912641184353	8.4	64.8	50.4	21.2
Lambeth - Clapham Town	14.5922435665096	7.3	29.3	35.2	7.8
Hounslow - Chiswick Homefields	18.3324519654504	11.3	18.8	34	9.8
Greenwich - Shooters Hill	20.7474130871734	12.4	33.5	23.8	5.2
Brent - Kenton	16.7229868952444	17.2	70	53.9	19.6
Harrow - Stanmore Park	17.3479383738534	22.4	43.3	34.5	8.8
Waltham Forest - Larkswood	19.978830378407	15.3	31.2	21.8	6.3
Kensington & Chelsea - Colville	14.0981258206995	9.7	34	44.4	15.5
Camden - Belsize	17.4460714848055	12	27.8	46.3	14
Sutton - Stonecot	20.5843913368185	14.5	20.9	18.1	5.2
Hounslow - Hanworth Park	20.4680925666199	12	30.8	28.5	10.9
Kensington & Chelsea - Norland	17.4755043227666	14.8	25.6	40.7	14.4
Hounslow - Osterley & Spring Grove	18.1797252705088	12	54.4	46	15.7
Merton - Lavender Fields	20.3056556020637	7.3	46.8	46.1	19.6
Sutton - Belmont	17.7945859872611	16.4	22.2	22.1	4.8
Havering - Elm Park	17.9207444248356	19.4	13.7	10.9	2.1
Bromley - Orpington	19.1626934883417	21.2	12.6	11.9	2.3
Haringey - White Hart Lane	27.4067455885638	8.4	52.5	44.6	19.2
Brent - Kensal Green	19.5507877975193	9	52.3	50.2	21.9
Croydon - Coulsdon East	19.1849068931722	19.6	15.4	11.8	1.5
Croydon - Kenley	20.7603902178271	14.9	23.2	17.9	3
Southwark - Village	23.7381067569747	10.9	20.1	22	3.5
Lewisham - Blackheath	18.3845003205357	10.9	30.2	29.3	7.4
Camden - Gospel Oak	19.6022727272727	12.2	30.1	34.9	10.4
Hillingdon - Northwood Hills	18.863361547763	17.5	33.3	27.9	7.1
Richmond upon Thames - Hampton North	19.250026632577	15.7	16.3	20.1	5.4
Enfield - Cockfosters	17.2251232956194	19	26.3	30.5	9.5
Wandsworth - Wandsworth Common	18.6922017446055	8.1	17.8	25.7	4.5
Harrow - Headstone North	18.1809174675518	16.4	52.6	37	9.1
Croydon - Purley	19.4632710344355	15	31.6	23.1	5
Tower Hamlets - East India & Lansbury	27.7676828857931	7	63.7	39.5	18.6
Kensington & Chelsea - Queen's Gate	14.3698588402559	9.4	28.7	63.2	24.9
Southwark - The Lane	19.8393832316094	9.1	50.7	37.7	8.5
Bromley - Mottingham & Chislehurst North	22.4091318714329	14	18.4	15.1	3.6
Hammersmith & Fulham - Parsons Green & Walham	18.0430962730047	10.2	17.8	38.2	10.8
Barnet - Hale	23.1060388828354	13.4	40.6	35.7	11.7
Southwark - East Dulwich	17.5229283337391	8.7	28.2	25.9	5.6
Brent - Sudbury	20.6622073578595	10.5	77.3	62.2	28.4
Enfield - Southgate Green	18.1112642344237	15.3	33.2	36.2	14
Redbridge - Seven Kings	24.2152466367713	9.2	76.7	47.6	19.3
Camden - Haverstock	19.4920737625364	11.1	37.1	36.3	10.7
Westminster - Maida Vale	17.8844270323213	9.2	37.6	49	15.2
Redbridge - Cranbrook	20.5242566510172	12.9	75.4	44.5	15.1
Havering - Brooklands	21.0670589021863	13.5	22.3	17.4	4.4
Bexley - Belvedere	22.3549201009251	12.7	28.4	20.4	5.1
Hillingdon - South Ruislip	20.1957295373665	12.6	27	23.2	7.7
Enfield - Turkey Street	25.5129721082284	11.5	37.9	31	14.1
Waltham Forest - Chingford Green	17.663069894041	21.8	14.7	13.1	3
Ealing - Northfield	18.8281423392765	11	23.2	36.2	11.1
Richmond upon Thames - Hampton Wick	20.4383132765874	13.3	11.4	20.3	4.5
Greenwich - Kidbrooke with Hornfair	20.3216783216783	11.9	33.6	27.3	7.6
Hammersmith & Fulham - Shepherd's Bush Green	14.7926078028747	7.6	40.1	47.2	16.4
Wandsworth - Queenstown	14.1877411058723	7.8	35.7	42.4	15.4
Brent - Welsh Harp	21.3480695121064	11.4	61.3	55	22.9
Islington - Junction	15.3929313929314	10.7	30.6	34.7	11.5
Hillingdon - Yiewsley	22.3437861160336	9.3	33.8	27.7	10
Harrow - West Harrow	20.3027089559433	13	55.8	42.9	14.4
Bromley - Farnborough & Crofton	18.630399125205	23	9.5	10	1.4
Lewisham - Downham	24.7065284547264	12.7	41.7	24.8	6.2
Westminster - Vincent Square	14.4873848618342	12.6	29.3	44.6	17
Kensington & Chelsea - Saint Charles	19.0516964572407	11.2	37.6	37.8	13.5
Kensington & Chelsea - Notting Barns	20.1740589283842	11.4	42.7	41.6	14.6
Tower Hamlets - Mile End East	23.8954620338475	5.7	66	43.5	20
Bexley - Colyers	22.1872753414809	14.5	17.7	12.3	2
Harrow - Hatch End	18.6851211072664	19.8	43.3	33	9.1
Richmond upon Thames - Kew	20.1556488282616	13.9	15.3	30.2	7.6
Hammersmith & Fulham - Addison	14.5598194130926	7.2	27.9	44.1	15.8
Havering - Havering Park	21.2692307692308	15.9	12	9.1	1.5
Enfield - Southbury	24.9827657521026	9.5	36.2	30.2	12
Barnet - Totteridge	20.1068672075994	16.8	34.3	37.6	13.7
Southwark - Cathedrals	10.6887089217589	7.4	38.4	40	10.4
Bexley - East Wickham	18.9169276109781	18	16.9	13.4	3.2
Waltham Forest - Valley	21.1464522894093	13.4	38.4	25.6	7.9
Kingston upon Thames - Beverley	20.6647541794441	12.9	32.6	32.4	13.3
Hackney - Haggerston	15.9882048331415	5.7	45.6	45.9	17.4
Waltham Forest - Grove Green	19.0427280197206	7.1	53.2	53	21.2
Southwark - Newington	17.282116581777	8.5	48.2	42.5	13.6
Bexley - Blendon & Penhill	19.5325389550871	17.9	9.5	7.8	1.7
Bexley - Christchurch	18.1030551755586	18.3	13.4	11.5	2.3
Greenwich - Eltham South	16.2586715572921	15.7	16.8	17.5	4.6
Southwark - Grange	14.1062361671657	6.5	39.1	38.3	10.8
Hounslow - Chiswick Riverside	18.7559559906437	11.8	19.1	30.3	8.9
Sutton - Carshalton Central	19.0656439884451	13.7	13.7	15	3.7
Richmond upon Thames - Whitton	19.3396226415094	16.3	21.5	23.3	6.7
Ealing - Southfield	17.3074068576518	10	20.8	36.2	10.7
Brent - Kilburn	18.6002707634352	8.6	50	48.1	18.4
Hammersmith & Fulham - Avonmore & Brook Green	12.352652259332	10.2	35.5	52.2	20.4
Barnet - Childs Hill	19.1730260860891	12.4	38.9	51.2	23
Haringey - Bruce Grove	22.460816129255	8.4	55.9	55.5	23.5
Merton - Lower Morden	19.1859185918592	15.2	21.9	22.1	5.9
Barnet - Coppetts	19.7101449275362	10.3	35	36.1	13.6
Barking & Dagenham - Heath	26.274800667532	12.7	32.3	24.1	6.2
Barnet - Colindale	22.2306702538309	8.4	59.9	52.7	23.2
Enfield - Southgate	18.8390756883908	14.1	31.6	33.2	11.7
Havering - Hacton	16.5878323275159	19.7	7.3	7.3	1.7
Wandsworth - Thamesfield	15.1731572564344	8.8	12.3	31.4	5.8
Westminster - Westbourne	21.8198918410534	9.5	52.8	51.5	24.1
Ealing - Southall Green	22.3266341998765	8.2	91.4	63.3	36.7
Camden - Bloomsbury	7.13367609254499	10	40.4	51.2	19.5
Richmond upon Thames - Teddington	18.9351403678606	13.6	8.9	17.8	4.1
Kingston upon Thames - Old Malden	19.8706393807656	15.7	30.8	27.3	8.4
Sutton - Beddington North	20.6906586477835	13.3	23.5	16.6	3.8
Barnet - West Hendon	19.8080680381565	11.4	50.6	53.6	24.7
Enfield - Winchmore Hill	18.4212489741103	14.9	23.8	27	8.1
Lewisham - Brockley	15.2483096292842	6.5	43.1	36.8	10.5
Greenwich - Glyndon	22.8606020582246	7.1	55	42.2	13.8
Lambeth - Streatham Wells	19.3277874681336	8.3	43.1	41.2	14.2
Hammersmith & Fulham - North End	12.5722668047286	6.6	34.2	47.9	19.4
Lewisham - Bellingham	25.1573604060914	10.2	51.3	29.6	6.2
Croydon - Coulsdon West	20.1055840582943	15.3	25.2	16.9	2.4
Richmond upon Thames - Barnes	20.4000388387222	14.7	14.3	32.2	8.3
Islington - Holloway	15.5776546752987	8.2	36.1	39.6	14.9
Camden - Fortune Green	15.0425894378194	9.7	29	43.4	16.1
Waltham Forest - Forest	19.3591878816718	9.3	58.7	45.7	18.4
Merton - West Barnes	20.4421009937132	13.4	30	33.7	9.3
Richmond upon Thames - Saint Margarets & North Twickenham	21.8403150733978	9.5	12.3	23.3	4.8
Hounslow - Syon	19.1382617677438	9.5	34.2	36.7	13.5
Havering - Pettits	17.0204554226168	20.8	8.7	7.4	1.7
Barking & Dagenham - Gascoigne	31.4969482814006	6.1	60.4	48.2	18.7
Newham - Boleyn	24.9405581278939	7.5	78.1	54.8	26.4
Lambeth - Brixton Hill	15.7050877414468	7	41.5	37.4	11.1
Merton - Pollards Hill	24.1178186060076	10.5	56.4	35.9	9.4
Tower Hamlets - Millwall	15.5605614278288	3.5	47.6	52.1	23.4
Lewisham - New Cross	20.1891342980452	5.9	59.7	46.6	15.3
Croydon - Bensham Manor	23.0603049194494	9.8	73.5	45.3	12.9
Croydon - Heathfield	19.0494210247484	15.9	24.6	16.9	2.8
Croydon - Waddon	22.2755753352462	11	44.6	30.1	8.9
Richmond upon Thames - South Twickenham	18.4740162210874	10.3	9.7	18.8	4
Bromley - Clock House	19.7879177377892	11.5	20.6	17.3	3.9
Bromley - Bickley	19.2210888859452	19.8	14.5	15.7	2.7
Waltham Forest - Leyton	24.2808798646362	7.4	63.5	48.8	20.8
Islington - Saint Peter's	14.8198274403654	9.8	25.6	32	9.5
Richmond upon Thames - Ham, Petersham & Richmond Riverside	19.1237762915576	16.7	15.9	30.5	7.6
Richmond upon Thames - Mortlake & Barnes Common	19.7911896693836	12	11.7	25.6	5.2
Ealing - Acton Central	19.66033577494	9.6	40	48.3	21
Bromley - Bromley Common & Keston	20.7437305630914	16.6	12.8	12.1	1.9
Southwark - East Walworth	18.4996106255949	8.3	51.8	43.8	13.7
Haringey - Northumberl& Park	27.0427611061058	7.9	60.9	53.5	25.5
Havering - Rainham & Wennington	18.9953533087646	17.5	15.7	10.9	2.4
Southwark - College	20.4029800203183	11.7	36.6	30.7	5.3
Camden - Kentish Town	15.8008496683312	9.6	28.4	34.2	10.4
Newham - Green Street East	22.2599937047529	5.7	89.9	62.2	33.2
Hackney - Clissold	18.7111038322961	6.6	34.7	32	10.6
Islington - Highbury East	17.0190820010315	9.7	23.5	30.9	9.3
Newham - Little Ilford	27.782119882162	6.7	82	54.5	27.3
Westminster - Bryanston & Dorset Square	10.6329747310483	10.6	37.2	61.3	28.8
Hillingdon - Manor	20.2412165705296	15.7	16	16.2	3.6
Wandsworth - West Putney	17.7994844661511	13.3	22.9	34.4	9.5
Brent - Queens Park	17.983116288201	8.6	37	41.9	14.4
Hounslow - Turnham Green	14.9807826694619	12.9	23.2	39.9	12.8
Lewisham - Forest Hill	21.1188905345362	10	38.2	31.1	8.2
Newham - East Ham North	21.8736477715275	7.9	90.8	60.2	31.5
Islington - Saint Mary's	13.6674456851034	9.6	25.3	33.1	10
Hillingdon - Barnhill	24.3215108930032	9.6	68.4	45.4	19
Croydon - Fieldway	31.1089816186079	10.1	34.4	19.3	4.1
Westminster - Little Venice	17.201166180758	9.8	35.6	52.6	19.9
Haringey - Tottenham Green	20.4183813443073	8.2	52.8	55	25.8
Havering - Saint Andrew's	16.4016799160042	20.9	7.2	7.7	1.6
Merton - Merton Park	19.5044807590933	14.6	29.2	35.5	10.1
Lewisham - Telegraph Hill	19.5321067381504	7	49.4	36.9	10.9
Croydon - Addiscombe	18.6815139489427	9.7	43.6	34.5	10.2
Kensington & Chelsea - Holland	18.2143954131258	11	32	56.7	20.9
Hillingdon - Uxbridge South	13.2627512697618	9.6	37.9	30.9	10
Waltham Forest - Hoe Street	21.0753306497987	8.8	49.9	42.8	17.2
Havering - Squirrel's Heath	17.7656510535092	16.3	11.5	9.4	1.3
Croydon - Woodside	24.3863106970077	7.9	55.1	28.4	6.3
Kingston upon Thames - Grove	12.8617069831127	9.4	23.2	31.4	11.2
Bromley - Petts Wood & Knoll	18.342978536371	20.9	9.2	10.6	1.8
Kingston upon Thames - Saint James	19.3444085182295	17.7	41.4	37.3	12.7
Havering - Heaton	21.9252187748608	16.8	16.3	13	2.5
Newham - Stratford & New Town	15.4547501125619	5.6	59.2	54.9	23.5
Croydon - Selsdon & Ballards	16.0679238842905	18.9	19.7	15.7	2.2
Westminster - Bayswater	11.747572815534	9.7	31.1	56.1	23.9
Enfield - Palmers Green	18.8431605329112	13.3	35.4	41.4	18.1
Westminster - Harrow Road	18.8964600299152	8.5	49	48.2	17.9
Southwark - Nunhead	19.6182085168869	8.9	55.5	39	9.1
Ealing - Elthorne	19.6987413164592	9.7	34.9	40.6	16.9
Haringey - Alexandra	21.6108520559559	9.9	20.5	26.8	8.5
Enfield - Bowes	17.2443242473845	10.6	38.6	47.5	23.3
Lambeth - Thurlow Park	21.0615057547101	8.8	36.3	30.3	8.7
Greenwich - Blackheath Westcombe	16.2796116504854	15	16.9	23	5.2
Camden - King's Cross	14.506459511948	7.2	49.2	50.9	22.4
Richmond upon Thames - Heathfield	20.1687190924076	14.8	30.4	26.6	8.7
Kingston upon Thames - Canbury	21.7004768447426	7.9	21.4	27.5	9.5
Hillingdon - Charville	22.8014577721439	12.5	43.9	30.1	9.7
Ealing - Ealing Common	15.2221984449675	11.3	31.5	43.1	15.4
Hammersmith & Fulham - Town	16.6502990804392	7.2	22.7	40.5	11.9
Harrow - Pinner South	21.1603112092979	17.1	40.6	29.4	6.8
Ealing - Greenford Green	20.9631333193951	11.9	49	50.1	21.9
Haringey - Saint Ann's	18.2470282825523	8.5	45.7	54.7	25.9
Sutton - Wallington North	19.9154929577465	12.5	19.6	16.6	4.4
Newham - Manor Park	23.5082908995952	7.1	81.5	56.2	27.6
Redbridge - Snaresbrook	15.4150863885377	17.6	30.2	27.2	6.5
Ealing - Walpole	17.9594898724681	10.5	27.1	38	14.1
Haringey - Bounds Green	18.6739526411658	9.2	39.8	48.5	21.5
Hillingdon - Cavendish	20.6210327671985	15.7	19.7	16.7	3.7
Camden - Camden Town with Primrose Hill	15.373027828431	11.3	26.4	38.8	12.1
Bexley - Saint Michael's	22.1463852716659	13.7	17.3	11.6	2.4
Tower Hamlets - Shadwell	22.3891462607545	6.3	64.4	45.1	23.2
Croydon - Norbury	21.0184510803593	13.4	62.3	43.6	13
Waltham Forest - Higham Hill	24.4808246172503	7.6	51.9	40.3	15.7
Brent - Tokyngton	18.417742469381	11.3	76.3	62.9	26.6
Haringey - Crouch End	15.8612343686971	8.9	18	29.2	7.6
Hackney - New River	28.8821607840013	7.7	39.3	40.2	19.4
Barking & Dagenham - Eastbrook	21.2450028555111	14.7	24.8	19	4.5
Tower Hamlets - Blackwall & Cubitt Town	17.804840450131	4.7	50.4	48.6	21.9
Bromley - Shortlands	18.5260586319218	19.7	15.6	16	3.6
Westminster - Tachbrook	10.7501838685952	15.4	21.8	41.1	15.1
Barnet - East Finchley	18.869222590531	13	28.2	34.4	10.4
Camden - Saint Pancras & Somers Town	19.9594731509625	9.4	49	42.4	17.9
Merton - Colliers Wood	14.1896938013443	8.1	40.1	47.2	16.3
Havering - Emerson Park	16.3062536528346	21.3	17.7	11.4	1.7
Havering - Romford Town	17.6747691727907	14	16.4	16.6	5.6
Harrow - Kenton West	17.9092455025508	14.3	72.6	51.3	20.4
Kensington & Chelsea - Abingdon	15.4698891441127	11.7	32.6	59.6	26.1
Kingston upon Thames - Berrylands	16.9227508742185	14.9	18.1	24.1	6.9
Camden - West Hampstead	12.5456053067993	8.4	30.5	43.3	13.9
Barking & Dagenham - Abbey	24.4407946191147	5	71.9	57.3	25.7
Hounslow - Hounslow West	17.4435139832517	11.2	75.9	62.6	29.4
Lewisham - Ladywell	18.3258697898725	8.9	45.4	35.4	9.4
Westminster - Saint James's	8.7827853712597	11	28.8	49	20
Greenwich - Eltham North	18.6117102004952	16.6	11.3	13.9	3.4
Hounslow - Hounslow Heath	23.114008284104	7.8	72.6	58	27.7
Hounslow - Feltham North	19.9688662111909	13.6	38.9	35.7	14.1
Redbridge - Bridge	20.0291645222165	13.4	28.1	21.6	6.7
Barking & Dagenham - Becontree	25.4395842355998	9.5	41.2	30.1	10.5
Haringey - Noel Park	19.0974962335892	8.5	45.2	51.7	25.4
Kingston upon Thames - Coombe Vale	21.2410256410256	13.3	33.4	33.5	11.1
Bromley - Chislehurst	17.9826040051244	21.5	12	12.7	1.9
Haringey - Harringay	14.7679324894515	7.5	34.5	49.2	24.3
Lambeth - Coldharbour	21.5622020972355	6.1	62.1	43.7	13.3
Newham - Plaistow North	23.6005171299289	7.1	73.4	52.1	23.6
Greenwich - Abbey Wood	26.8530310748854	9.6	46.3	32	7.6
Southwark - South Camberwell	19.6848523240162	7.1	44.1	35.8	7.7
